Restaurant,Count,City,Average_Cost,Rating,Votes,Reviews
ID_0,1,1,150.0,0.0,0.0,0.0
ID_1,1,1,400.0,0.0,0.0,0.0
ID_100,1,1,150.0,3.6,36.0,7.0
ID_1000,1,1,250.0,3.7,96.0,55.0
ID_1001,1,1,200.0,3.9,61.0,45.0
ID_1003,1,1,150.0,3.6,116.0,41.0
ID_1004,4,2,75.0,1.5,2.0,0.5
ID_1005,1,1,150.0,4.3,253.0,118.0
ID_1006,3,1,100.0,3.7,60.0,23.0
ID_1007,2,2,225.0,0.0,0.0,0.0
ID_1008,1,1,150.0,0.0,0.0,0.0
ID_1009,1,1,100.0,0.0,0.0,0.0
ID_101,1,1,150.0,0.0,0.0,0.0
ID_1010,1,1,150.0,0.0,0.0,0.0
ID_1011,1,1,300.0,4.3,511.0,276.0
ID_1012,3,1,200.0,3.3,131.0,42.0
ID_1013,2,1,100.0,3.55,12.5,5.0
ID_1014,1,1,100.0,3.8,28.0,16.0
ID_1015,7,5,200.0,3.21,17.43,10.86
ID_1016,1,1,150.0,0.0,0.0,0.0
ID_1017,2,2,100.0,0.0,0.0,0.0
ID_1018,1,1,350.0,4.4,282.0,199.0
ID_1019,1,1,100.0,4.1,46.0,17.0
ID_102,1,1,100.0,3.3,4.0,1.0
ID_1020,1,1,150.0,3.6,16.0,6.0
ID_1021,1,1,50.0,4.1,98.0,53.0
ID_1022,1,1,100.0,3.4,14.0,4.0
ID_1023,2,1,200.0,0.0,0.0,0.0
ID_1025,2,1,50.0,3.4,7.0,5.0
ID_1026,1,1,150.0,3.2,4.0,1.0
ID_1027,1,1,450.0,4.2,1636.0,1357.0
ID_1028,2,1,200.0,3.6,79.0,55.0
ID_1029,1,1,100.0,3.5,21.0,3.0
ID_103,1,1,250.0,3.6,8.0,3.0
ID_1031,1,1,200.0,3.6,69.0,19.0
ID_1032,3,2,950.0,4.5,734.0,393.0
ID_1033,2,2,750.0,4.3,108.0,67.0
ID_1034,2,1,150.0,0.0,0.0,0.0
ID_1035,2,1,200.0,3.4,11.0,4.0
ID_1036,5,3,200.0,4.1,60.0,37.0
ID_1037,1,1,100.0,0.0,0.0,0.0
ID_1038,1,1,100.0,0.0,0.0,0.0
ID_1039,1,1,200.0,0.0,0.0,0.0
ID_104,1,1,200.0,3.5,89.0,21.0
ID_1041,2,1,500.0,4.0,972.0,695.0
ID_1042,5,3,240.0,4.12,318.8,99.0
