,Restaurant,Location,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time,City,Location1,Rating_bins,CusineCount
0,ID_6321,"FTI College, Law College Road, Pune","Fast Food, Rolls, Burger, Salad, Wraps",200.0,50,3.5,12.0,4.0,30,Pune,"FTI College, Law College Road",3-4,5
1,ID_2882,"Sector 3, Marathalli","Ice Cream, Desserts",100.0,50,3.5,11.0,4.0,30,Bangalore,"Sector 3, Marathalli",3-4,2
2,ID_1595,Mumbai Central,"Italian, Street Food, Fast Food",150.0,50,3.6,99.0,30.0,65,Mumbai,Mumbai Central,3-4,3
3,ID_5929,"Sector 1, Noida","Mughlai, North Indian, Chinese",250.0,99,3.7,176.0,95.0,30,Noida,Sector 1,3-4,3
4,ID_6123,"Rmz Centennial, I Gate, Whitefield","Cafe, Beverages",200.0,99,3.2,521.0,235.0,65,Bangalore,"Rmz Centennial, I Gate, Whitefield",3-4,2
5,ID_5221,"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Chinese",150.0,50,3.8,46.0,18.0,30,Bangalore,"Rmz Centennial, I Gate, Whitefield",3-4,3
6,ID_3777,Mumbai Central,"Beverages, Fast Food",150.0,50,3.7,108.0,31.0,30,Mumbai,Mumbai Central,3-4,2
7,ID_745,Delhi University-GTB Nagar,"Chinese, Thai, Asian",650.0,50,4.0,1731.0,1235.0,45,Delhi,Delhi University-GTB Nagar,3-4,3
8,ID_2970,Delhi University-GTB Nagar,"Mithai, Street Food",100.0,50,3.9,110.0,26.0,30,Delhi,Delhi University-GTB Nagar,3-4,2
9,ID_3474,"Sector 1, Noida","Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",200.0,50,3.9,562.0,294.0,65,Noida,Sector 1,3-4,6
10,ID_5159,Mumbai Central,"North Indian, Chinese, Mughlai",350.0,50,3.8,186.0,61.0,30,Mumbai,Mumbai Central,3-4,3
11,ID_1696,"Yerawada, Pune, Maharashtra","Chinese, Thai, Indonesian, Italian",800.0,50,4.2,1693.0,1239.0,45,Mumbai,"Yerawada, Pune, Maharashtra",4-5,4
12,ID_1156,"Sector 1, Noida","Burger, Fast Food, Desserts, Beverages",150.0,50,0.0,0.0,0.0,30,Noida,Sector 1,NoRating,4
13,ID_354,Delhi University-GTB Nagar,Beverages,50.0,0,3.8,184.0,128.0,45,Delhi,Delhi University-GTB Nagar,3-4,1
14,ID_6891,"Delhi Administration Flats, Timarpur",Fast Food,100.0,50,3.5,23.0,5.0,30,Delhi,"Delhi Administration Flats, Timarpur",3-4,1
